Natasha Alam
Carlos Alazraqui
Edward Albert
Sasha Alexander
Richard Alfieri
Alison Whitney
Chad Allen
Laura Allen
Joan Allen
Karen Allen
Steve Allen
Viola Allen
Kirstie Alley
Marshall Allman
Bruce Altman
Don Alvarado
Kirk Alyn
Don Ameche
David Anders
Anthony Anderson
Loni Anderson
Nicole Anderson
Stella Maeve
Paola Andino
Lona Andre
Andrea Barber
Lois Andrews
Dave Annable
Ray Anthony
Roscoe Arbuckle
Michael D. Arenz
Richard Arlen
Allisyn Ashley Arm
Cliff Arquette
Karina Arroyave
Linda Arvidson
Dana Ashbrook
Senait Ashenafi
John Asher
Ashley Argota
John Astin
Zeb Atlas
Aubrey Peeples
Aubrey Plaza
Audrey Wasilewski
Patricia Avery
Marion Aye
Lew Ayres
Aziz Ansari
Valerie Baber
Vanessa Baden
Badja Djola
Ainsley Bailey
G. W. Bailey
Kirk Baily
Kathy Baker
Brenda Bakke
Scott Bakula
Belinda Balaski
Vilma Bánky
Ben Bard
Lex Barker
Joanna Barnes
Charlie Barnett
Dominic Barto
Toni Basil
James Baskett
Lina Basquette
Texas Battle
Beverly Bayne
Jennifer Beals
Warren Beatty
Madisen Beaty
Brandon Beemer
Noah Beery
Wallace Beery
Jason Behr
Tobin Bell
Bill Bellamy
Ned Bellamy
Ralph Bellamy
Alma Beltran
Robert Benchley
Jack Bender
Belle Bennett
Dan Benson
Tom Berenger
Berry Berenson
Peter Berg
Candice Bergen
Edgar Bergen
Ouida Bergère
Xander Berkeley
Elizabeth Berkley
Carlos Bernard
Collin Bernsen
Corbin Bernsen
Halle Berry
Marcheline Bertrand
Beth Broderick
Kuhne Beveridge
Leslie Bibb
Michael Biehn
Kelly Bishop
Tyler Blackburn
Madge Blake
Richard Blake
Sally Blane
Yasmine Bleeth
Moon Bloodgood
Eleanor Boardman
Bob Dishy
Bob Uecker
Zak Boggan
Mark Boone Junior
Richard Boone
Edwin Booth
Olive Borden
David Boreanaz
Barbara Bosson
Barry Bostwick
Kate Bosworth
Clara Bow
Charley Bowers
Dan Bradley
Brat Pack
Robert Bray
Nicholas Brendon
Josh Brener
Mary Brian
Ashlie Brillault
Paul Brinegar
Tiffany Brissette
Britt Lomond
Helen Broderick
James Brolin
J. Edward Bromberg
Charles Bronson
Darin Brooks
Foster Brooks
Ben Browder
Aaron Brown
Johnny Mack Brown
Wally Brown
Yvette Nicole Brown
Kale Browne
Roscoe Lee Browne
Bruce Mahler
Kate Bruce
Chris Buck
John Bunny
Victor Buono
Bob Burns
Charlotte Burton
Sophia Bush
Pat Buttram
Ralph Byrd
Christy Cabanne
Bruce Cabot
Kurt Caceres
Dean Cain
Andrew Caldwell
L. Scott Caldwell
Rory Calhoun
Kirk Cameron
Anna Camp
Billy Campbell
Bruce Campbell
Maia Campbell
María Canals Barrera
Candy Candido
Yakima Canutt
Jonathan Caouette
Steve Cardenas
Rita Carewe
Harry Carey
Macdonald Carey
Carla Gallo
Carlie Casey
Richard Carlson
Carly Chaikin
Ryan Carnes
Adam Carolla
Charisma Carpenter
Keith Carradine
Aimee Carrero
Carrie Snodgress
Leo Carrillo
Carrot Top
Lisa Nicole Carson
Sunset Carson
T.C. Carson
Mrs. Leslie Carter
Thomas Carter
Nancy Cartwright
Anthony Caruso
Max Carver
Allen Case
Seymour Cassel
Jack Cassidy
Joanna Cassidy
Dan Castellaneta
Susie Castillo
Raquel Castro
Phoebe Cates
Emma Caulfield
John Cazale
Angélica Celaya
Alejandro Chabán
Jessica Chaffin
Richard Chamberlain
Erin Chambers
Lon Chaney
Lon Chaney Jr.
Tseng Chang
Carol Channing
Charles Korvin
Charlie Tahan
Charley Chase
Chevy Chase
John Cho
Margaret Cho
Smith Cho
Rae Dawn Chong
Chris Durand
Linda Christian
Christian Fortune
Cody Christian
Tyler Christopher
Ann Christy
Richard Christy
Jamie Chung
Thomas Haden Church
Ethlyne Clair
Clarence Gilyard
Marguerite Clark
Sarah Clarke
Jan Clayton
Dennis Cleveland Stewart
Cliff DeYoung
Elmer Clifton
Andy Clyde
Kim Coates
Ali Cobrin
Charles Coburn
Lew Cody
Tris Coffin
Helen Cohan
Robert Colbert
Stephen Colbert
Gary Cole
Gary Coleman
Lynn Collins
Mo Collins
Jerry Colonna
Eleanor Columbus
Pinto Colvig
Joyce Compton
Didi Conn
Marc Connelly
Connie Britton
Buck Connors
Chuck Connors
Frances Conroy
Jack Conway
Pat Conway
Keith Coogan
Josh Cooke
Jennifer Coolidge
Miriam Cooper
Corey Stoll
Wendell Corey
Bill Cosby
Helene Costello
Lou Costello
D.J. Cotrona
Steve Coulter
C. Jay Cox
Yvonne Craig
Jeanne Crain
Broderick Crawford
Cindy Crawford
Richard Crenna
Terry Crews
James Cromwell
Kid Cudi
Melinda Culea
Kieran Culkin
Rory Culkin
Robert Culp
Vondie Curtis-Hall
Matt Czuchry
Percy Daggs III
Moon Dailly
Bill Daily
Elizabeth Daily
Nadia Dajani
Dale Dickey
Esther Dale
Margaret Dale
John Francis Daley
Joe Dallesandro
Brett Dalton
Dorothy Dalton
Tim Daly
Stuart Damon
Dan Lauria
Viola Dana
Dorothy Dandridge
Dane DeHaan
Karl Dane
Daneboe
Claire Danes
Daniel Hugh Kelly
Daniel Pesina
Bebe Daniels
Tony Danza
Frankie Darro
Robert Davi
David Herman
David Keith
David Ogden Stiers
Amy Davidson
Harrison C. Davies
Brad Davis
Gail Davis
William B. Davis
Pam Dawber
Doris Dawson
Alice Day
Alana de la Garza
Drena De Niro
Tamara De Treaux
Debra Monk
Rosemary DeCamp
Frances Dee
Sandra Dee
Kaylee DeFer
Nicole DeHuff
Kenny Delmar
Heather DeLoach
Lawrence Grant
Carol Dempster
Alexis Denisof
Brian Dennehy
Barry Dennen
Vernon Dent
Bob Denver
Bo Derek
Bruce Dern
Laura Dern
Clinton Derricks-Carroll
Johnny Desmond
Lucy DeVito
Devon Graye
Eddie Dew
Colleen Dewhurst
Hari Dhillon
Don Diamond
Reed Diamond
Diana Hyland
Jessica DiCicco
Diddy
Dillon Lane
Kevin Dillon
Dimitra Arliss
Dimitri Diatchenko
Dinah Manoff
Richard Divizio
Richard Dix
Shannen Doherty
Jason Dohring
Micky Dolenz
Dolores Rogers
Don Creech
Don Gordon
Peter Donald
Donita Rose
Brian Donlevy
Donna Dixon
Jamie Donnelly
Donovan Patton
Lisa Donovan
Stephen Dorff
Dorian Brown
Marie Doro
Dorothy Devore
John Doucette
Mike Douglas
Fiona Dourif
Constance Dowling
Doris Dowling
Billy Drago
Alfred Drake
Dave Draper
Claire Du Brey
Don Dubbins
Anne Dudek
Michael Dudikoff
Howard Duff
Dennis Dugan
Andrew Duggan
Clark Duke
Margaret Dumont
Steffi Duna
Donnie Dunagan
Merrin Dungey
Pamela Dunlap
Josephine Dunn
Kevin Dunn
Michael Thomas Dunn
Dominique Dunne
Stephen Dunne
Dan Duryea
Eliza Dushku
Rob Dyrdek
George Eads
Jeanne Eagels
Richard Eastham
Kyle Eastwood
Brando Eaton
Mary Eaton
Pearl Eaton
Vilma Ebsen
Edie McClurg
Richard Edson
Edward Kimball
Jennifer Edwards
Richard Egan
Nicole Eggert
Sally Eilers
India Eisley
Dana Elcar
Elizabeth Ho
Elizabeth Malecki
Héctor Elizondo
Ellen Dorsher
Yvonne Elliman
Maxine Elliott
Wild Bill Elliott
Corri English
Robert Englund
Gary y Edmund Entin
Shareeka Epps
